i,g,r,g_1,g_2
1,1.8950385887541346,0.4968026460859978,0.9340683572216097,0.9609702315325248
2,2.106175033318525,0.5244335850733007,1.5404264771212794,0.5657485561972456
3,3.6331061771817987,0.5506704770279183,0.7252143328204,2.907891844361398
4,2.0999779784188504,0.5047346399471482,1.5197093151288263,0.5802686632900242
5,1.1793333333333333,0.43044444444444446,0.6395555555555555,0.5397777777777778
6,2.38006161971831,0.528169014084507,1.8014964788732395,0.5785651408450704
7,1.0988768993613742,0.3985906188064303,0.6267341995155252,0.47214269984584895
8,1.5255281690140845,0.44520246478873243,1.3113996478873242,0.21412852112676056
9,1.2728272827282727,0.4154015401540154,0.9892189218921893,0.2836083608360836
10,1.5120197708380139,0.4502359020444844,1.1046955740283082,0.40732419680970566
11,0.9330946520474379,0.3452673976281047,0.5372566569702394,0.39583799507719847
12,1.3157894736842106,0.4329442853996917,0.8597225280775159,0.4560669456066946
13,1.6458562321389318,0.46163992086172784,0.728072103759068,0.9177841283798637
14,1.2976190476190477,0.4091710758377425,1.0160934744268078,0.28152557319223986
15,1.505716798592788,0.4426121372031663,1.2532981530343008,0.25241864555848725
16,1.3473094170403588,0.4260089686098655,0.8594170403587444,0.48789237668161434
17,3.3158805711813066,0.604283859800952,2.342925140631761,0.9729554305495457
18,1.4405423427428319,0.4289842187152701,0.7552789508779729,0.6852633918648589
19,2.058719646799117,0.5015452538631346,1.444812362030905,0.6139072847682119
20,1.537920422070785,0.4609804352604968,0.8047922620356123,0.7331281600351726
